MsgID.GLOBAL_POSITION,0.0000000,-122.3958048,37.7933324,0.0000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18982.3000000,-0.2996919,-14239020.0000000,0.0048158
MsgID.LOCAL_VELOCITY,18982.3000000,0.0000181,-0.0000180,-0.0000287
MsgID.GLOBAL_HOME,0.0000000,37.7933349,37.7933349,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3958059,37.7933332,-0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18982.5500000,-0.1549879,-14239021.0000000,0.0343256
MsgID.LOCAL_VELOCITY,18982.5500000,-0.0000120,-0.0000285,0.0000015
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3958056,37.7933344,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18982.8000000,-0.0632656,-14239020.0000000,0.0462174
MsgID.LOCAL_VELOCITY,18982.8000000,-0.0000023,-0.0000073,-0.0001073
MsgID.GLOBAL_POSITION,0.0000000,-122.3958049,37.7933323,-0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18983.0500000,-0.3128404,-14239020.0000000,0.0399653
MsgID.LOCAL_VELOCITY,18983.0500000,-0.0000108,-0.0000287,0.0001702
MsgID.GLOBAL_POSITION,0.0000000,-122.3958052,37.7933317,-0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18983.3000000,-0.3470083,-14239020.0000000,0.0177294
MsgID.LOCAL_VELOCITY,18983.3000000,0.0000230,-0.0000189,-0.0000244
MsgID.GLOBAL_HOME,0.0000000,37.7933349,37.7933349,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3958057,37.7933334,0.0160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18983.5510000,-0.1394788,-14239020.0000000,-0.0221907
MsgID.LOCAL_VELOCITY,18983.5510000,-0.0022102,0.0000453,-0.0000764
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3958059,37.7933339,0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18983.8010000,-0.1225856,-14239021.0000000,-0.0646949
MsgID.LOCAL_VELOCITY,18983.8010000,0.0000394,-0.0000123,-0.0000320
MsgID.GLOBAL_POSITION,0.0000000,-122.3958046,37.7933333,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18984.0510000,-0.1777729,-14239020.0000000,-0.1153828
MsgID.LOCAL_VELOCITY,18984.0510000,0.0000470,0.0000094,0.0002010
MsgID.GLOBAL_POSITION,0.0000000,-122.3958055,37.7933333,0.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18984.3010000,-0.1783097,-14239021.0000000,-0.1560073
MsgID.LOCAL_VELOCITY,18984.3010000,0.0000280,0.0000138,0.0000054
MsgID.GLOBAL_HOME,0.0000000,37.7933349,37.7933349,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3958076,37.7933335,0.1870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18984.5510000,-0.1452931,-14239021.0000000,-0.1918697
MsgID.LOCAL_VELOCITY,18984.5510000,0.0000115,-0.0000214,-0.0000569
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3958077,37.7933345,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18984.8010000,-0.0448138,-14239021.0000000,-0.2091006
MsgID.LOCAL_VELOCITY,18984.8010000,0.0000087,-0.0000181,0.0000389
MsgID.GLOBAL_POSITION,0.0000000,-122.3958064,37.7933331,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18985.0510000,-0.2360128,-14239021.0000000,-0.2089302
MsgID.LOCAL_VELOCITY,18985.0510000,0.0000127,-0.0000203,-0.0001216
MsgID.GLOBAL_POSITION,0.0000000,-122.3958053,37.7933323,0.1950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18985.3010000,-0.2718623,-14239020.0000000,-0.1919816
MsgID.LOCAL_VELOCITY,18985.3010000,0.0000514,-0.0000154,0.0001199
MsgID.GLOBAL_HOME,0.0000000,37.7933349,37.7933349,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3958061,37.7933334,0.1630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18985.5510000,-0.1873578,-14239021.0000000,-0.1590982
MsgID.LOCAL_VELOCITY,18985.5510000,-0.0000048,-0.0000049,-0.0000396
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3958071,37.7933320,0.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18985.8020000,-0.3418472,-14239021.0000000,-0.1257075
MsgID.LOCAL_VELOCITY,18985.8020000,0.0000067,0.0000042,-0.0000738
MsgID.GLOBAL_POSITION,0.0000000,-122.3958080,37.7933322,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18986.0520000,-0.2764606,-14239021.0000000,-0.0922268
MsgID.LOCAL_VELOCITY,18986.0520000,-0.0000219,-0.0000125,0.0001531
MsgID.GLOBAL_POSITION,0.0000000,-122.3958067,37.7933332,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18986.3020000,-0.1805604,-14239021.0000000,-0.0744775
MsgID.LOCAL_VELOCITY,18986.3020000,0.0000461,-0.0000108,-0.0000077
MsgID.GLOBAL_HOME,0.0000000,37.7933349,37.7933349,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3958059,37.7933336,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
