MsgID.LOCAL_VELOCITY,89.5080000,-0.0487158,0.0019982,-4.3018565
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924803,5.5850000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,0.0000000,-1.8200000
MsgID.LOCAL_POSITION,89.7580000,0.0304256,0.1245753,-5.6184530
MsgID.LOCAL_VELOCITY,89.7580000,-0.0457333,0.0018802,-1.6389177
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924786,5.7280000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,0.0000000,0.7600000
MsgID.LOCAL_POSITION,90.0080000,-0.1485269,0.1575987,-5.7281127
MsgID.LOCAL_VELOCITY,90.0080000,-0.0426361,0.0017110,0.7699984
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924779,5.4030000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,1.7900000
MsgID.LOCAL_POSITION,90.2580000,-0.2140213,-0.0570652,-5.3453879
MsgID.LOCAL_VELOCITY,90.2580000,-0.0179060,0.0022798,1.8436033
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924794,4.8650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,2.1200000
MsgID.LOCAL_POSITION,90.5090000,-0.0596351,-0.0383198,-4.8654952
MsgID.LOCAL_VELOCITY,90.5090000,0.0089160,0.0133743,2.1226392
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924787,4.3520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0200000,2.1200000
MsgID.LOCAL_POSITION,90.7590000,-0.1593307,0.0320202,-4.2813063
MsgID.LOCAL_VELOCITY,90.7590000,0.0149051,0.0242780,2.0933628
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924791,3.7760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0200000,2.1400000
MsgID.LOCAL_POSITION,91.0090000,-0.0943605,-0.1112797,-3.7762508
MsgID.LOCAL_VELOCITY,91.0090000,0.0172001,0.0210778,2.1475461
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924807,3.2680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0200000,2.0900000
MsgID.LOCAL_POSITION,91.2590000,0.0918924,-0.0732601,-3.2204015
MsgID.LOCAL_VELOCITY,91.2590000,0.0196926,0.0299234,2.1031437
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924807,2.6980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,2.0700000
MsgID.LOCAL_POSITION,91.5090000,0.0838491,0.0242115,-2.6989107
MsgID.LOCAL_VELOCITY,91.5090000,0.0027910,0.0335232,2.0728121
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924812,2.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,2.0800000
MsgID.LOCAL_POSITION,91.7600000,0.1354143,0.0313656,-2.1392868
MsgID.LOCAL_VELOCITY,91.7600000,-0.0076410,0.0291527,2.1130595
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924798,1.6480000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,2.1600000
MsgID.LOCAL_POSITION,92.0100000,-0.0175272,0.0015444,-1.6487125
